ym,category,role,matters_received,cases_filed,matters_terminated,cases_terminated,d_judg_us,d_settle,d_against,d_dismissed,d_other
1994-10,ALL,Defendant,4062,3761,73,3272,240,1,59,4,2968
1994-11,ALL,Defendant,3919,3971,66,3174,233,1,94,4,2842
1994-12,ALL,Defendant,3741,3811,68,3069,243,2,103,4,2717
1995-01,ALL,Defendant,4054,3979,76,3519,258,1,120,5,3135
1995-02,ALL,Defendant,3812,3597,59,3501,278,2,112,8,3101
1995-03,ALL,Defendant,4301,4348,59,4128,306,1,159,7,3655
1995-04,ALL,Defendant,3646,3681,53,3269,275,,137,8,2849
1995-05,ALL,Defendant,4281,4069,59,4010,345,1,169,8,3487
1995-06,ALL,Defendant,4022,3959,68,3931,355,,132,3,3441
1995-07,ALL,Defendant,3479,3444,65,3624,270,1,123,8,3222
1995-08,ALL,Defendant,4217,3842,74,4463,395,1,144,13,3910
1995-09,ALL,Defendant,3658,3599,62,3690,324,,139,11,3216
1995-10,ALL,Defendant,3940,3918,63,3828,240,1,111,4,3472
1995-11,ALL,Defendant,3581,3665,63,3122,287,1,89,6,2739
1995-12,ALL,Defendant,3362,3442,36,2922,233,,114,5,2570
1996-01,ALL,Defendant,4244,4068,69,3706,309,4,132,5,3256
1996-02,ALL,Defendant,4122,3940,101,4151,291,3,127,4,3726
1996-03,ALL,Defendant,4541,4327,54,3989,327,2,142,4,3514
1996-04,ALL,Defendant,4509,4482,64,3926,338,4,131,9,3444
1996-05,ALL,Defendant,4714,4802,99,4215,306,2,145,6,3756
1996-06,ALL,Defendant,4554,4460,94,5273,346,3,138,10,4776
1996-07,ALL,Defendant,4858,4568,62,4632,327,4,83,6,4212
1996-08,ALL,Defendant,4443,4434,85,4722,282,4,101,8,4327
1996-09,ALL,Defendant,4239,4150,57,4245,316,4,147,12,3766
1996-10,ALL,Defendant,4750,4679,58,4014,311,3,126,13,3561
1996-11,ALL,Defendant,4101,4152,61,3147,291,3,94,5,2754
1996-12,ALL,Defendant,4254,4416,77,3604,273,8,123,14,3186
1997-01,ALL,Defendant,4837,4770,69,4140,346,1,170,8,3615
1997-02,ALL,Defendant,4438,4372,52,3867,284,8,119,6,3450
1997-03,ALL,Defendant,5155,5262,52,4110,324,4,134,9,3639
1997-04,ALL,Defendant,7023,7764,57,4246,313,4,80,10,3839
1997-05,ALL,Defendant,5807,5306,137,4115,322,6,182,13,3592
1997-06,ALL,Defendant,5097,4854,114,4525,360,4,141,15,4005
1997-07,ALL,Defendant,5077,4718,70,4815,335,6,156,7,4311
1997-08,ALL,Defendant,4382,4297,81,4247,324,4,140,17,3762
1997-09,ALL,Defendant,4645,4540,68,4240,343,7,125,12,3753
1997-10,ALL,Defendant,4944,4815,39,4362,361,7,145,25,3824
1997-11,ALL,Defendant,3565,3885,46,3496,320,12,115,17,3032
1997-12,ALL,Defendant,4268,4400,53,3584,356,9,149,19,3051
1998-01,ALL,Defendant,4419,4322,96,3899,346,11,124,13,3405
1998-02,ALL,Defendant,4423,4134,95,4744,336,10,144,30,4224
1998-03,ALL,Defendant,5318,4813,70,5309,485,14,170,32,4608
1998-04,ALL,Defendant,5160,4886,117,4636,413,10,162,36,4015
1998-05,ALL,Defendant,4711,4585,66,4249,358,8,154,23,3706
1998-06,ALL,Defendant,5124,5058,88,4389,456,6,153,24,3750
1998-07,ALL,Defendant,5134,4917,63,4738,440,7,167,30,4094
1998-08,ALL,Defendant,4738,4419,96,4970,386,15,441,36,4092
1998-09,ALL,Defendant,4320,4362,139,5198,482,27,217,34,4438
1998-10,ALL,Defendant,4785,4688,74,4491,408,22,195,40,3826
1998-11,ALL,Defendant,4175,4234,60,3732,376,14,166,45,3131
1998-12,ALL,Defendant,4187,4371,66,3924,366,31,171,48,3308
1999-01,ALL,Defendant,4379,4028,64,4453,380,15,189,52,3817
1999-02,ALL,Defendant,4407,3948,75,4000,395,26,191,44,3344
1999-03,ALL,Defendant,4896,4857,107,5279,647,33,254,61,4284
1999-04,ALL,Defendant,4675,4498,112,4567,439,31,185,68,3844
1999-05,ALL,Defendant,4268,4359,93,4371,442,37,255,64,3573
1999-06,ALL,Defendant,4661,4462,116,4449,554,52,274,94,3475
1999-07,ALL,Defendant,4435,4154,127,5053,567,80,284,139,3983
1999-08,ALL,Defendant,4409,4190,85,4633,692,118,327,185,3311
1999-09,ALL,Defendant,4049,3935,116,5046,965,119,411,174,3377
1999-10,ALL,Defendant,3954,3889,66,4072,1078,221,587,365,1821
1999-11,ALL,Defendant,3829,3805,58,3862,1078,238,556,351,1639
1999-12,ALL,Defendant,3894,4016,56,4103,1072,294,514,351,1872
2000-01,ALL,Defendant,4207,4031,63,3861,995,283,589,375,1619
2000-02,ALL,Defendant,4159,3986,94,4221,1169,289,520,388,1855
2000-03,ALL,Defendant,4652,4510,178,6097,1798,330,980,600,2389
2000-04,ALL,Defendant,4065,4104,90,4215,985,268,515,491,1956
2000-05,ALL,Defendant,4825,4784,67,5616,1143,273,557,501,3142
2000-06,ALL,Defendant,4894,4834,67,5220,1140,297,698,728,2357
2000-07,ALL,Defendant,4291,4176,98,3877,1029,272,486,421,1669
2000-08,ALL,Defendant,4991,4757,86,4531,1181,287,626,400,2037
2000-09,ALL,Defendant,4253,4403,115,4217,1288,251,639,405,1634
2000-10,ALL,Defendant,4869,4835,93,3859,1022,220,527,404,1686
2000-11,ALL,Defendant,4530,4471,86,3672,985,202,610,474,1401
2000-12,ALL,Defendant,4012,4080,52,3676,923,216,441,391,1705
2001-01,ALL,Defendant,4892,4670,99,4230,1115,287,581,432,1815
2001-02,ALL,Defendant,4336,4213,84,3693,1087,219,608,399,1380
2001-03,ALL,Defendant,4925,4941,114,4880,1482,254,778,448,1918
2001-04,ALL,Defendant,4539,4453,99,3851,1083,223,585,441,1519
2001-05,ALL,Defendant,4890,4947,62,4354,1110,262,744,478,1760
2001-06,ALL,Defendant,5270,5248,83,4976,1082,226,573,409,2686
2001-07,ALL,Defendant,4698,4658,85,5355,1249,233,655,426,2792
2001-08,ALL,Defendant,4885,4913,90,5896,1342,233,621,500,3200
2001-09,ALL,Defendant,3857,3950,101,4362,1448,171,690,468,1585
2001-10,ALL,Defendant,5046,4836,95,4472,1236,226,577,438,1995
2001-11,ALL,Defendant,4257,4558,54,4489,1164,205,560,434,2126
2001-12,ALL,Defendant,3965,3905,52,3453,1028,178,513,378,1356
2002-01,ALL,Defendant,4622,4565,73,4368,1320,217,613,454,1764
2002-02,ALL,Defendant,4310,4152,51,3876,1189,195,544,398,1550
2002-03,ALL,Defendant,4640,4847,66,4687,1729,233,709,438,1578
2002-04,ALL,Defendant,5129,5188,104,4420,1180,207,535,502,1996
2002-05,ALL,Defendant,4853,5060,86,5513,1214,225,554,505,3015
2002-06,ALL,Defendant,5327,4639,90,4993,1188,186,500,420,2699
2002-07,ALL,Defendant,5399,4871,96,5709,1370,211,601,539,2988
2002-08,ALL,Defendant,5164,4769,200,5598,1434,208,681,535,2740
2002-09,ALL,Defendant,4728,4490,115,4625,1465,199,711,513,1737
2002-10,ALL,Defendant,4994,4937,103,4235,1314,215,513,520,1673
2002-11,ALL,Defendant,4567,4396,57,3580,1013,181,502,447,1437
2002-12,ALL,Defendant,4254,4583,57,3501,1068,201,504,442,1286
2003-01,ALL,Defendant,5172,4664,60,4470,1281,220,553,536,1880
2003-02,ALL,Defendant,4232,4433,55,4319,1178,215,568,522,1836
2003-03,ALL,Defendant,4993,4693,63,5163,1699,207,766,552,1939
2003-04,ALL,Defendant,4816,4917,121,4655,1324,235,661,570,1865
2003-05,ALL,Defendant,4835,4809,59,4495,1149,200,583,575,1988
2003-06,ALL,Defendant,4833,4628,79,4626,1246,199,532,506,2143
2003-07,ALL,Defendant,4713,4656,117,5028,1407,188,645,692,2096
2003-08,ALL,Defendant,4543,4416,105,4340,1237,187,553,468,1895
2003-09,ALL,Defendant,4646,4690,135,5070,1522,229,743,724,1852
2003-10,ALL,Defendant,5057,4772,75,4325,1222,199,564,583,1757
2003-11,ALL,Defendant,3763,3832,44,3950,1001,176,542,561,1670
2003-12,ALL,Defendant,4358,4329,75,3815,1063,195,481,456,1620
2004-01,ALL,Defendant,4344,4158,64,4133,1244,166,568,530,1625
2004-02,ALL,Defendant,4118,3868,77,5468,1406,185,768,599,2510
2004-03,ALL,Defendant,5017,4704,122,6601,1943,263,1078,713,2604
2004-04,ALL,Defendant,4485,4443,72,4415,1285,178,711,593,1648
2004-05,ALL,Defendant,4331,4300,62,3683,1241,173,512,462,1295
2004-06,ALL,Defendant,4705,4691,68,4029,1165,179,594,575,1516
2004-07,ALL,Defendant,4911,4870,66,4635,1297,166,533,448,2191
2004-08,ALL,Defendant,5276,5163,94,4641,1472,185,716,698,1570
2004-09,ALL,Defendant,4871,4904,122,5062,1846,179,896,606,1535
2004-10,ALL,Defendant,5007,4967,81,4138,1265,159,763,613,1338
2004-11,ALL,Defendant,4850,4932,75,4377,1559,157,835,482,1344
2004-12,ALL,Defendant,4634,4592,64,4233,1553,173,701,491,1315
2005-01,ALL,Defendant,4943,4643,64,4911,1673,175,708,607,1748
2005-02,ALL,Defendant,4544,4393,61,3906,1364,182,538,519,1303
2005-03,ALL,Defendant,5298,5122,129,6601,2321,254,843,972,2211
2005-04,ALL,Defendant,4804,4641,109,5025,1475,245,656,882,1767
2005-05,ALL,Defendant,4713,4750,79,4714,1365,227,700,747,1675
2005-06,ALL,Defendant,4789,4738,84,5710,1567,198,658,947,2340
2005-07,ALL,Defendant,4084,4192,69,4368,1474,163,734,573,1424
2005-08,ALL,Defendant,4757,4612,111,4745,1636,188,608,683,1630
2005-09,ALL,Defendant,4223,4191,134,4875,1687,183,843,640,1522
2005-10,ALL,Defendant,4364,4233,70,3727,1189,174,510,456,1398
2005-11,ALL,Defendant,4167,4020,61,3615,1185,171,550,420,1289
2005-12,ALL,Defendant,4109,3979,79,3799,1240,160,508,519,1372
2006-01,ALL,Defendant,4654,4554,78,4316,1326,184,602,621,1583
2006-02,ALL,Defendant,3966,3815,71,3890,1301,178,534,536,1341
2006-03,ALL,Defendant,4884,4710,135,5855,2087,208,980,650,1930
2006-04,ALL,Defendant,4109,3993,71,4153,1132,173,544,579,1725
2006-05,ALL,Defendant,4487,4293,74,4911,1290,182,601,683,2155
2006-06,ALL,Defendant,4418,4322,80,4602,1374,178,599,627,1824
2006-07,ALL,Defendant,3963,3843,84,4088,1212,174,594,651,1457
2006-08,ALL,Defendant,4782,4943,87,4786,1553,175,725,681,1652
