metric,age_months,multiplier
criminal_cases_filed,0,1.3018
criminal_cases_filed,1,1.0759
criminal_cases_filed,2,1.0437
criminal_cases_filed,3,1.0274
criminal_cases_filed,4,1.0227
criminal_cases_filed,5,1.017
criminal_cases_filed,6,1.0131
criminal_cases_filed,7,1.0118
criminal_cases_filed,8,1.01
criminal_cases_filed,9,1.0078
criminal_cases_filed,10,1.0054
criminal_cases_filed,11,1.004
criminal_cases_filed,12,1.0035
criminal_cases_terminated,0,2.9339
criminal_cases_terminated,1,1.9899
criminal_cases_terminated,2,1.6706
criminal_cases_terminated,3,1.4302
criminal_cases_terminated,4,1.248
criminal_cases_terminated,5,1.1781
criminal_cases_terminated,6,1.136
criminal_cases_terminated,7,1.0995
criminal_cases_terminated,8,1.071
criminal_cases_terminated,9,1.0551
criminal_cases_terminated,10,1.0363
criminal_cases_terminated,11,1.0196
criminal_cases_terminated,12,1.0161
civil_cases_filed,0,1.6598
civil_cases_filed,1,1.1815
civil_cases_filed,2,1.0872
civil_cases_filed,3,1.0611
civil_cases_filed,4,1.0438
civil_cases_filed,5,1.0358
civil_cases_filed,6,1.0313
civil_cases_filed,7,1.0273
civil_cases_filed,8,1.0206
civil_cases_filed,9,1.016
civil_cases_filed,10,1.013
civil_cases_filed,11,1.0084
civil_cases_filed,12,1.0034
civil_cases_terminated,0,1.7179
civil_cases_terminated,1,1.2881
civil_cases_terminated,2,1.1729
civil_cases_terminated,3,1.1248
civil_cases_terminated,4,1.0884
civil_cases_terminated,5,1.0563
civil_cases_terminated,6,1.0393
civil_cases_terminated,7,1.0305
civil_cases_terminated,8,1.0282
civil_cases_terminated,9,1.0228
civil_cases_terminated,10,1.0185
civil_cases_terminated,11,1.0136
civil_cases_terminated,12,1.0078
