ym,department,subagency,role,cases_pending
1994-10,ALL,ALL,Defendant,64851
1994-11,ALL,ALL,Defendant,65648
1994-12,ALL,ALL,Defendant,66391
1995-01,ALL,ALL,Defendant,66866
1995-02,ALL,ALL,Defendant,66970
1995-03,ALL,ALL,Defendant,67195
1995-04,ALL,ALL,Defendant,67609
1995-05,ALL,ALL,Defendant,67665
1995-06,ALL,ALL,Defendant,67691
1995-07,ALL,ALL,Defendant,67507
1995-08,ALL,ALL,Defendant,66884
1995-09,ALL,ALL,Defendant,66781
1995-10,ALL,ALL,Defendant,66872
1995-11,ALL,ALL,Defendant,67408
1995-12,ALL,ALL,Defendant,67925
1996-01,ALL,ALL,Defendant,68294
1996-02,ALL,ALL,Defendant,68080
1996-03,ALL,ALL,Defendant,68419
1996-04,ALL,ALL,Defendant,68980
1996-05,ALL,ALL,Defendant,69567
1996-06,ALL,ALL,Defendant,68761
1996-07,ALL,ALL,Defendant,68693
1996-08,ALL,ALL,Defendant,68400
1996-09,ALL,ALL,Defendant,68295
1996-10,ALL,ALL,Defendant,68955
1996-11,ALL,ALL,Defendant,69960
1996-12,ALL,ALL,Defendant,70770
1997-01,ALL,ALL,Defendant,71399
1997-02,ALL,ALL,Defendant,71905
1997-03,ALL,ALL,Defendant,73058
1997-04,ALL,ALL,Defendant,76578
1997-05,ALL,ALL,Defendant,77751
1997-06,ALL,ALL,Defendant,78077
1997-07,ALL,ALL,Defendant,77982
1997-08,ALL,ALL,Defendant,78018
1997-09,ALL,ALL,Defendant,78318
1997-10,ALL,ALL,Defendant,78760
1997-11,ALL,ALL,Defendant,79149
1997-12,ALL,ALL,Defendant,79954
1998-01,ALL,ALL,Defendant,80387
1998-02,ALL,ALL,Defendant,79776
1998-03,ALL,ALL,Defendant,79272
1998-04,ALL,ALL,Defendant,79515
1998-05,ALL,ALL,Defendant,79857
1998-06,ALL,ALL,Defendant,80518
1998-07,ALL,ALL,Defendant,80693
1998-08,ALL,ALL,Defendant,80140
1998-09,ALL,ALL,Defendant,79299
1998-10,ALL,ALL,Defendant,79498
1998-11,ALL,ALL,Defendant,80003
1998-12,ALL,ALL,Defendant,80442
1999-01,ALL,ALL,Defendant,80021
1999-02,ALL,ALL,Defendant,79975
1999-03,ALL,ALL,Defendant,79553
1999-04,ALL,ALL,Defendant,79491
1999-05,ALL,ALL,Defendant,79476
1999-06,ALL,ALL,Defendant,79485
1999-07,ALL,ALL,Defendant,78585
1999-08,ALL,ALL,Defendant,78136
1999-09,ALL,ALL,Defendant,77014
1999-10,ALL,ALL,Defendant,76827
1999-11,ALL,ALL,Defendant,76772
1999-12,ALL,ALL,Defendant,76683
2000-01,ALL,ALL,Defendant,76859
2000-02,ALL,ALL,Defendant,76644
2000-03,ALL,ALL,Defendant,75064
2000-04,ALL,ALL,Defendant,74960
2000-05,ALL,ALL,Defendant,74134
2000-06,ALL,ALL,Defendant,73750
2000-07,ALL,ALL,Defendant,74044
2000-08,ALL,ALL,Defendant,74268
2000-09,ALL,ALL,Defendant,74450
2000-10,ALL,ALL,Defendant,75424
2000-11,ALL,ALL,Defendant,76235
2000-12,ALL,ALL,Defendant,76647
2001-01,ALL,ALL,Defendant,77096
2001-02,ALL,ALL,Defendant,77618
2001-03,ALL,ALL,Defendant,77671
2001-04,ALL,ALL,Defendant,78278
2001-05,ALL,ALL,Defendant,78882
2001-06,ALL,ALL,Defendant,79147
2001-07,ALL,ALL,Defendant,78454
2001-08,ALL,ALL,Defendant,77459
2001-09,ALL,ALL,Defendant,77043
2001-10,ALL,ALL,Defendant,77407
2001-11,ALL,ALL,Defendant,77473
2001-12,ALL,ALL,Defendant,77927
2002-01,ALL,ALL,Defendant,78131
2002-02,ALL,ALL,Defendant,78418
2002-03,ALL,ALL,Defendant,78578
2002-04,ALL,ALL,Defendant,79334
2002-05,ALL,ALL,Defendant,78884
2002-06,ALL,ALL,Defendant,78534
2002-07,ALL,ALL,Defendant,77704
2002-08,ALL,ALL,Defendant,76880
2002-09,ALL,ALL,Defendant,76741
2002-10,ALL,ALL,Defendant,77442
2002-11,ALL,ALL,Defendant,78250
2002-12,ALL,ALL,Defendant,79329
2003-01,ALL,ALL,Defendant,79529
2003-02,ALL,ALL,Defendant,79651
2003-03,ALL,ALL,Defendant,79179
2003-04,ALL,ALL,Defendant,79428
2003-05,ALL,ALL,Defendant,79745
2003-06,ALL,ALL,Defendant,79750
2003-07,ALL,ALL,Defendant,79365
2003-08,ALL,ALL,Defendant,79440
2003-09,ALL,ALL,Defendant,79055
2003-10,ALL,ALL,Defendant,79502
2003-11,ALL,ALL,Defendant,79382
2003-12,ALL,ALL,Defendant,79888
2004-01,ALL,ALL,Defendant,79920
2004-02,ALL,ALL,Defendant,78317
2004-03,ALL,ALL,Defendant,76417
2004-04,ALL,ALL,Defendant,76445
2004-05,ALL,ALL,Defendant,77065
2004-06,ALL,ALL,Defendant,77727
2004-07,ALL,ALL,Defendant,77963
2004-08,ALL,ALL,Defendant,78483
2004-09,ALL,ALL,Defendant,78315
2004-10,ALL,ALL,Defendant,79144
2004-11,ALL,ALL,Defendant,79683
2004-12,ALL,ALL,Defendant,80034
2005-01,ALL,ALL,Defendant,79774
2005-02,ALL,ALL,Defendant,80253
2005-03,ALL,ALL,Defendant,78771
2005-04,ALL,ALL,Defendant,78390
2005-05,ALL,ALL,Defendant,78427
2005-06,ALL,ALL,Defendant,77455
2005-07,ALL,ALL,Defendant,77276
2005-08,ALL,ALL,Defendant,77136
2005-09,ALL,ALL,Defendant,76453
2005-10,ALL,ALL,Defendant,76964
2005-11,ALL,ALL,Defendant,77363
2005-12,ALL,ALL,Defendant,77543
2006-01,ALL,ALL,Defendant,77776
2006-02,ALL,ALL,Defendant,77701
2006-03,ALL,ALL,Defendant,76554
2006-04,ALL,ALL,Defendant,76391
2006-05,ALL,ALL,Defendant,75766
2006-06,ALL,ALL,Defendant,75490
2006-07,ALL,ALL,Defendant,75248
2006-08,ALL,ALL,Defendant,75406
2006-09,ALL,ALL,Defendant,75104
2006-10,ALL,ALL,Defendant,75442
2006-11,ALL,ALL,Defendant,76015
2006-12,ALL,ALL,Defendant,76074
2007-01,ALL,ALL,Defendant,76111
2007-02,ALL,ALL,Defendant,76348
2007-03,ALL,ALL,Defendant,75447
2007-04,ALL,ALL,Defendant,75407
2007-05,ALL,ALL,Defendant,75430
2007-06,ALL,ALL,Defendant,75241
2007-07,ALL,ALL,Defendant,75616
2007-08,ALL,ALL,Defendant,76015
2007-09,ALL,ALL,Defendant,75858
2007-10,ALL,ALL,Defendant,76485
2007-11,ALL,ALL,Defendant,77267
2007-12,ALL,ALL,Defendant,78041
2008-01,ALL,ALL,Defendant,79610
2008-02,ALL,ALL,Defendant,84567
2008-03,ALL,ALL,Defendant,88736
2008-04,ALL,ALL,Defendant,89745
2008-05,ALL,ALL,Defendant,88549
2008-06,ALL,ALL,Defendant,86869
2008-07,ALL,ALL,Defendant,86074
2008-08,ALL,ALL,Defendant,86679
2008-09,ALL,ALL,Defendant,85830
2008-10,ALL,ALL,Defendant,85192
2008-11,ALL,ALL,Defendant,85923
2008-12,ALL,ALL,Defendant,85660
2009-01,ALL,ALL,Defendant,86071
2009-02,ALL,ALL,Defendant,85636
2009-03,ALL,ALL,Defendant,84917
2009-04,ALL,ALL,Defendant,84791
2009-05,ALL,ALL,Defendant,85427
2009-06,ALL,ALL,Defendant,85636
2009-07,ALL,ALL,Defendant,85834
2009-08,ALL,ALL,Defendant,86064
2009-09,ALL,ALL,Defendant,86004
2009-10,ALL,ALL,Defendant,84335
2009-11,ALL,ALL,Defendant,85708
2009-12,ALL,ALL,Defendant,86917
2010-01,ALL,ALL,Defendant,87961
2010-02,ALL,ALL,Defendant,88695
2010-03,ALL,ALL,Defendant,87491
2010-04,ALL,ALL,Defendant,87849
2010-05,ALL,ALL,Defendant,88622
2010-06,ALL,ALL,Defendant,89542
2010-07,ALL,ALL,Defendant,90130
2010-08,ALL,ALL,Defendant,90520
2010-09,ALL,ALL,Defendant,90463
2010-10,ALL,ALL,Defendant,91787
2010-11,ALL,ALL,Defendant,92222
2010-12,ALL,ALL,Defendant,92715
2011-01,ALL,ALL,Defendant,93203
2011-02,ALL,ALL,Defendant,92524
2011-03,ALL,ALL,Defendant,87791
2011-04,ALL,ALL,Defendant,86586
2011-05,ALL,ALL,Defendant,85477
2011-06,ALL,ALL,Defendant,86258
2011-07,ALL,ALL,Defendant,87608
2011-08,ALL,ALL,Defendant,87989
2011-09,ALL,ALL,Defendant,88331
2011-10,ALL,ALL,Defendant,91008
2011-11,ALL,ALL,Defendant,93538
2011-12,ALL,ALL,Defendant,94793
2012-01,ALL,ALL,Defendant,95232
2012-02,ALL,ALL,Defendant,94920
2012-03,ALL,ALL,Defendant,94236
2012-04,ALL,ALL,Defendant,95050
2012-05,ALL,ALL,Defendant,96399
2012-06,ALL,ALL,Defendant,97126
2012-07,ALL,ALL,Defendant,98438
2012-08,ALL,ALL,Defendant,98801
2012-09,ALL,ALL,Defendant,99054
2012-10,ALL,ALL,Defendant,101007
2012-11,ALL,ALL,Defendant,101982
2012-12,ALL,ALL,Defendant,102975
2013-01,ALL,ALL,Defendant,103456
2013-02,ALL,ALL,Defendant,103421
2013-03,ALL,ALL,Defendant,103108
2013-04,ALL,ALL,Defendant,96370
2013-05,ALL,ALL,Defendant,97196
2013-06,ALL,ALL,Defendant,98157
2013-07,ALL,ALL,Defendant,98505
2013-08,ALL,ALL,Defendant,99086
2013-09,ALL,ALL,Defendant,98631
2013-10,ALL,ALL,Defendant,100666
2013-11,ALL,ALL,Defendant,100831
2013-12,ALL,ALL,Defendant,101209
2014-01,ALL,ALL,Defendant,101615
2014-02,ALL,ALL,Defendant,101249
2014-03,ALL,ALL,Defendant,99627
2014-04,ALL,ALL,Defendant,100357
2014-05,ALL,ALL,Defendant,100820
2014-06,ALL,ALL,Defendant,101285
2014-07,ALL,ALL,Defendant,101416
2014-08,ALL,ALL,Defendant,101503
2014-09,ALL,ALL,Defendant,100808
2014-10,ALL,ALL,Defendant,102005
2014-11,ALL,ALL,Defendant,106136
2014-12,ALL,ALL,Defendant,108880
2015-01,ALL,ALL,Defendant,110195
2015-02,ALL,ALL,Defendant,109623
2015-03,ALL,ALL,Defendant,107866
2015-04,ALL,ALL,Defendant,106634
2015-05,ALL,ALL,Defendant,106427
2015-06,ALL,ALL,Defendant,104966
2015-07,ALL,ALL,Defendant,103944
2015-08,ALL,ALL,Defendant,102924
2015-09,ALL,ALL,Defendant,96632
2015-10,ALL,ALL,Defendant,96575
2015-11,ALL,ALL,Defendant,96663
2015-12,ALL,ALL,Defendant,96698
2016-01,ALL,ALL,Defendant,96312
2016-02,ALL,ALL,Defendant,96231
2016-03,ALL,ALL,Defendant,95072
2016-04,ALL,ALL,Defendant,95750
2016-05,ALL,ALL,Defendant,97347
2016-06,ALL,ALL,Defendant,104891
2016-07,ALL,ALL,Defendant,104329
2016-08,ALL,ALL,Defendant,103689
2016-09,ALL,ALL,Defendant,102495
2016-10,ALL,ALL,Defendant,102648
2016-11,ALL,ALL,Defendant,102742
2016-12,ALL,ALL,Defendant,102732
2017-01,ALL,ALL,Defendant,101868
2017-02,ALL,ALL,Defendant,101354
2017-03,ALL,ALL,Defendant,98018
2017-04,ALL,ALL,Defendant,97140
2017-05,ALL,ALL,Defendant,96901
2017-06,ALL,ALL,Defendant,96341
2017-07,ALL,ALL,Defendant,96121
2017-08,ALL,ALL,Defendant,95568
2017-09,ALL,ALL,Defendant,93716
2017-10,ALL,ALL,Defendant,94058
2017-11,ALL,ALL,Defendant,93960
2017-12,ALL,ALL,Defendant,93389
2018-01,ALL,ALL,Defendant,93803
2018-02,ALL,ALL,Defendant,93329
2018-03,ALL,ALL,Defendant,91320
2018-04,ALL,ALL,Defendant,91603
2018-05,ALL,ALL,Defendant,91926
2018-06,ALL,ALL,Defendant,92250
2018-07,ALL,ALL,Defendant,91849
2018-08,ALL,ALL,Defendant,91495
2018-09,ALL,ALL,Defendant,89708
2018-10,ALL,ALL,Defendant,89729
2018-11,ALL,ALL,Defendant,90038
2018-12,ALL,ALL,Defendant,90829
2019-01,ALL,ALL,Defendant,93038
2019-02,ALL,ALL,Defendant,92816
2019-03,ALL,ALL,Defendant,76526
2019-04,ALL,ALL,Defendant,76822
2019-05,ALL,ALL,Defendant,76928
2019-06,ALL,ALL,Defendant,73099
2019-07,ALL,ALL,Defendant,72816
2019-08,ALL,ALL,Defendant,72478
2019-09,ALL,ALL,Defendant,71053
2019-10,ALL,ALL,Defendant,71219
2019-11,ALL,ALL,Defendant,72144
2019-12,ALL,ALL,Defendant,72434
2020-01,ALL,ALL,Defendant,71882
2020-02,ALL,ALL,Defendant,71416
2020-03,ALL,ALL,Defendant,70037
2020-04,ALL,ALL,Defendant,71794
2020-05,ALL,ALL,Defendant,74000
2020-06,ALL,ALL,Defendant,76403
2020-07,ALL,ALL,Defendant,78022
2020-08,ALL,ALL,Defendant,78892
2020-09,ALL,ALL,Defendant,79653
2020-10,ALL,ALL,Defendant,79945
2020-11,ALL,ALL,Defendant,80667
2020-12,ALL,ALL,Defendant,81677
2021-01,ALL,ALL,Defendant,82044
2021-02,ALL,ALL,Defendant,81747
2021-03,ALL,ALL,Defendant,80546
2021-04,ALL,ALL,Defendant,80013
2021-05,ALL,ALL,Defendant,79296
2021-06,ALL,ALL,Defendant,78698
2021-07,ALL,ALL,Defendant,77506
