code,department,subagency
JUST,DOJ,Other DOJ
ZSSA,Social Security Admin,SSA
HHS,HHS,Other HHS
HUD,HUD,HUD
AGFM,Agriculture,Agriculture
PSUS,USPS,USPS
HSSS,DHS,Secret Service
DEFE,Defense,Other Defense
HSZZ,DHS,Other DHS
ZTAT,Other,Other
CDOA,Commerce,Commerce
HSCI,DHS,HSI
DEFZ,Defense,Other Defense
AGFC,Agriculture,Agriculture
ZFCC,Other,Other
AGSF,Agriculture,Agriculture
NH,Other,Other
HHNI,HHS,Other HHS
ZOPM,OPM,OPM
HHHP,HHS,Other HHS
DEIA,Defense,Other Defense
HSEM,DHS,Other DHS
ZSEN,Other,Other
EXWH,Other,Other
JUIN,DOJ,Other DOJ
HHRS,HHS,Other HHS
SBA,Other,Other
FHA,Other,Other
LAOS,Labor,Labor
TRCC,Treasury,Other Treasury
ZFHL,Other,Other
ZAID,Other,Other
HHPI,HHS,Other HHS
INLM,Interior,Interior
ZLRB,Other,Other
TRSB,Treasury,Other Treasury
FBI,DOJ,FBI
EPA,Other,Other
AGMC,Agriculture,Agriculture
WDMP,Other,Other
AGSC,Agriculture,Agriculture
ZACH,Other,Other
AGRE,Agriculture,Agriculture
ZTVA,Other,Other
IGTA,Other,Other
ZNAL,Other,Other
ZUSC,Other,Other
ZCFB,Other,Other
WDCS,Other,Other
ZNTX,Other,Other
INFZ,Interior,Interior
VAE,Veterans Affairs,Veterans Affairs
VAW,Veterans Affairs,Veterans Affairs
VRCH,Veterans Affairs,Veterans Affairs
VRFL,Veterans Affairs,Veterans Affairs
JUTX,DOJ,Other DOJ
CDIE,Commerce,Commerce
LABZ,Labor,Labor
TRAZ,Treasury,Other Treasury
JUIZ,DOJ,Other DOJ
ZICC,Other,Other
ZABL,Other,Other
DE,Defense,Other Defense
????,Other,Other
TXN,Other,Other
TRSZ,Treasury,Other Treasury
VRMA,Veterans Affairs,Veterans Affairs
HHAA,HHS,Other HHS
INN,Interior,Interior
HSFF,DHS,Other DHS
CAS,Other,Other
VRKY,Veterans Affairs,Veterans Affairs
MA,Other,Other
VRMD,Veterans Affairs,Veterans Affairs
WDOS,Other,Other
ENBP,Energy,Energy
ID,Other,Other
TDOZ,Treasury,Other Treasury
WIW,Other,Other
CAN,Other,Other
MPD2,Other,Other
FLN,Other,Other
OKE,Other,Other
VROK,Veterans Affairs,Veterans Affairs
ZACN,Other,Other
VRSD,Veterans Affairs,Veterans Affairs
SD,State,State
IAN,Other,Other
VRKS,Veterans Affairs,Veterans Affairs
VRLA,Veterans Affairs,Veterans Affairs
ZACV,Other,Other
