ym,category,role,cases_pending
1994-10,ALL,Defendant,64685
1994-11,ALL,Defendant,65481
1994-12,ALL,Defendant,66219
1995-01,ALL,Defendant,66698
1995-02,ALL,Defendant,66802
1995-03,ALL,Defendant,67026
1995-04,ALL,Defendant,67435
1995-05,ALL,Defendant,67493
1995-06,ALL,Defendant,67518
1995-07,ALL,Defendant,67336
1995-08,ALL,Defendant,66714
1995-09,ALL,Defendant,66614
1995-10,ALL,Defendant,66705
1995-11,ALL,Defendant,67241
1995-12,ALL,Defendant,67761
1996-01,ALL,Defendant,68135
1996-02,ALL,Defendant,67922
1996-03,ALL,Defendant,68265
1996-04,ALL,Defendant,68820
1996-05,ALL,Defendant,69408
1996-06,ALL,Defendant,68596
1996-07,ALL,Defendant,68530
1996-08,ALL,Defendant,68242
1996-09,ALL,Defendant,68142
1996-10,ALL,Defendant,68800
1996-11,ALL,Defendant,69800
1996-12,ALL,Defendant,70607
1997-01,ALL,Defendant,71240
1997-02,ALL,Defendant,71747
1997-03,ALL,Defendant,72903
1997-04,ALL,Defendant,76424
1997-05,ALL,Defendant,77603
1997-06,ALL,Defendant,77930
1997-07,ALL,Defendant,77836
1997-08,ALL,Defendant,77886
1997-09,ALL,Defendant,78186
1997-10,ALL,Defendant,78632
1997-11,ALL,Defendant,79023
1997-12,ALL,Defendant,79831
1998-01,ALL,Defendant,80267
1998-02,ALL,Defendant,79661
1998-03,ALL,Defendant,79165
1998-04,ALL,Defendant,79412
1998-05,ALL,Defendant,79751
1998-06,ALL,Defendant,80414
1998-07,ALL,Defendant,80590
1998-08,ALL,Defendant,80037
1998-09,ALL,Defendant,79196
1998-10,ALL,Defendant,79390
1998-11,ALL,Defendant,79895
1998-12,ALL,Defendant,80336
1999-01,ALL,Defendant,79917
1999-02,ALL,Defendant,79869
1999-03,ALL,Defendant,79445
1999-04,ALL,Defendant,79375
1999-05,ALL,Defendant,79362
1999-06,ALL,Defendant,79376
1999-07,ALL,Defendant,78474
1999-08,ALL,Defendant,78030
1999-09,ALL,Defendant,76915
1999-10,ALL,Defendant,76727
1999-11,ALL,Defendant,76672
1999-12,ALL,Defendant,76582
2000-01,ALL,Defendant,76761
2000-02,ALL,Defendant,76539
2000-03,ALL,Defendant,74961
2000-04,ALL,Defendant,74854
2000-05,ALL,Defendant,74022
2000-06,ALL,Defendant,73638
2000-07,ALL,Defendant,73939
2000-08,ALL,Defendant,74159
2000-09,ALL,Defendant,74345
2000-10,ALL,Defendant,75319
2000-11,ALL,Defendant,76124
2000-12,ALL,Defendant,76530
2001-01,ALL,Defendant,76982
2001-02,ALL,Defendant,77506
2001-03,ALL,Defendant,77558
2001-04,ALL,Defendant,78164
2001-05,ALL,Defendant,78760
2001-06,ALL,Defendant,79026
2001-07,ALL,Defendant,78328
2001-08,ALL,Defendant,77340
2001-09,ALL,Defendant,76925
2001-10,ALL,Defendant,77289
2001-11,ALL,Defendant,77353
2001-12,ALL,Defendant,77804
2002-01,ALL,Defendant,78009
2002-02,ALL,Defendant,78291
2002-03,ALL,Defendant,78450
2002-04,ALL,Defendant,79214
2002-05,ALL,Defendant,78761
2002-06,ALL,Defendant,78413
2002-07,ALL,Defendant,77581
2002-08,ALL,Defendant,76752
2002-09,ALL,Defendant,76613
2002-10,ALL,Defendant,77314
2002-11,ALL,Defendant,78127
2002-12,ALL,Defendant,79204
2003-01,ALL,Defendant,79401
2003-02,ALL,Defendant,79522
2003-03,ALL,Defendant,79051
2003-04,ALL,Defendant,79313
2003-05,ALL,Defendant,79629
2003-06,ALL,Defendant,79637
2003-07,ALL,Defendant,79257
2003-08,ALL,Defendant,79334
2003-09,ALL,Defendant,78953
2003-10,ALL,Defendant,79398
2003-11,ALL,Defendant,79280
2003-12,ALL,Defendant,79787
2004-01,ALL,Defendant,79817
2004-02,ALL,Defendant,78220
2004-03,ALL,Defendant,76323
2004-04,ALL,Defendant,76352
2004-05,ALL,Defendant,76970
2004-06,ALL,Defendant,77634
2004-07,ALL,Defendant,77865
2004-08,ALL,Defendant,78386
2004-09,ALL,Defendant,78219
2004-10,ALL,Defendant,79047
2004-11,ALL,Defendant,79592
2004-12,ALL,Defendant,79948
2005-01,ALL,Defendant,79688
2005-02,ALL,Defendant,80171
2005-03,ALL,Defendant,78689
2005-04,ALL,Defendant,78307
2005-05,ALL,Defendant,78342
2005-06,ALL,Defendant,77367
2005-07,ALL,Defendant,77190
2005-08,ALL,Defendant,77054
2005-09,ALL,Defendant,76369
2005-10,ALL,Defendant,76875
2005-11,ALL,Defendant,77280
2005-12,ALL,Defendant,77459
2006-01,ALL,Defendant,77692
2006-02,ALL,Defendant,77614
2006-03,ALL,Defendant,76466
2006-04,ALL,Defendant,76305
2006-05,ALL,Defendant,75683
2006-06,ALL,Defendant,75405
2006-07,ALL,Defendant,75160
2006-08,ALL,Defendant,75318
2006-09,ALL,Defendant,75019
2006-10,ALL,Defendant,75361
2006-11,ALL,Defendant,75935
2006-12,ALL,Defendant,75998
2007-01,ALL,Defendant,76038
2007-02,ALL,Defendant,76278
2007-03,ALL,Defendant,75378
2007-04,ALL,Defendant,75341
2007-05,ALL,Defendant,75367
2007-06,ALL,Defendant,75175
2007-07,ALL,Defendant,75554
2007-08,ALL,Defendant,75953
2007-09,ALL,Defendant,75793
2007-10,ALL,Defendant,76422
2007-11,ALL,Defendant,77204
2007-12,ALL,Defendant,77974
2008-01,ALL,Defendant,79550
2008-02,ALL,Defendant,84507
2008-03,ALL,Defendant,88677
2008-04,ALL,Defendant,89690
2008-05,ALL,Defendant,88498
2008-06,ALL,Defendant,86818
2008-07,ALL,Defendant,86023
2008-08,ALL,Defendant,86628
2008-09,ALL,Defendant,85780
2008-10,ALL,Defendant,85144
2008-11,ALL,Defendant,85871
2008-12,ALL,Defendant,85607
2009-01,ALL,Defendant,86017
2009-02,ALL,Defendant,85579
2009-03,ALL,Defendant,84859
2009-04,ALL,Defendant,84731
2009-05,ALL,Defendant,85363
2009-06,ALL,Defendant,85567
2009-07,ALL,Defendant,85764
2009-08,ALL,Defendant,85993
2009-09,ALL,Defendant,85935
2009-10,ALL,Defendant,84271
2009-11,ALL,Defendant,85639
2009-12,ALL,Defendant,86850
2010-01,ALL,Defendant,87894
2010-02,ALL,Defendant,88628
2010-03,ALL,Defendant,87423
2010-04,ALL,Defendant,87786
2010-05,ALL,Defendant,88563
2010-06,ALL,Defendant,89484
2010-07,ALL,Defendant,90072
2010-08,ALL,Defendant,90463
2010-09,ALL,Defendant,90406
2010-10,ALL,Defendant,91731
2010-11,ALL,Defendant,92167
2010-12,ALL,Defendant,92663
2011-01,ALL,Defendant,93151
2011-02,ALL,Defendant,92470
2011-03,ALL,Defendant,87741
2011-04,ALL,Defendant,86537
2011-05,ALL,Defendant,85423
2011-06,ALL,Defendant,86202
2011-07,ALL,Defendant,87552
2011-08,ALL,Defendant,87935
2011-09,ALL,Defendant,88278
2011-10,ALL,Defendant,90954
2011-11,ALL,Defendant,93485
2011-12,ALL,Defendant,94737
2012-01,ALL,Defendant,95172
2012-02,ALL,Defendant,94857
2012-03,ALL,Defendant,94173
2012-04,ALL,Defendant,94986
2012-05,ALL,Defendant,96333
2012-06,ALL,Defendant,97061
2012-07,ALL,Defendant,98371
2012-08,ALL,Defendant,98736
2012-09,ALL,Defendant,98992
2012-10,ALL,Defendant,100947
2012-11,ALL,Defendant,101918
2012-12,ALL,Defendant,102911
2013-01,ALL,Defendant,103388
2013-02,ALL,Defendant,103350
2013-03,ALL,Defendant,103035
2013-04,ALL,Defendant,96297
2013-05,ALL,Defendant,97118
2013-06,ALL,Defendant,98078
2013-07,ALL,Defendant,98427
2013-08,ALL,Defendant,99009
2013-09,ALL,Defendant,98553
2013-10,ALL,Defendant,100588
2013-11,ALL,Defendant,100745
2013-12,ALL,Defendant,101130
2014-01,ALL,Defendant,101539
2014-02,ALL,Defendant,101165
2014-03,ALL,Defendant,99539
2014-04,ALL,Defendant,100269
2014-05,ALL,Defendant,100731
2014-06,ALL,Defendant,101195
2014-07,ALL,Defendant,101337
2014-08,ALL,Defendant,101423
2014-09,ALL,Defendant,100724
2014-10,ALL,Defendant,101917
2014-11,ALL,Defendant,106046
2014-12,ALL,Defendant,108787
2015-01,ALL,Defendant,110090
2015-02,ALL,Defendant,109514
2015-03,ALL,Defendant,107767
2015-04,ALL,Defendant,106521
2015-05,ALL,Defendant,106313
2015-06,ALL,Defendant,104855
2015-07,ALL,Defendant,103836
2015-08,ALL,Defendant,102812
2015-09,ALL,Defendant,96520
2015-10,ALL,Defendant,96463
2015-11,ALL,Defendant,96548
2015-12,ALL,Defendant,96579
2016-01,ALL,Defendant,96196
2016-02,ALL,Defendant,96114
2016-03,ALL,Defendant,94951
2016-04,ALL,Defendant,95624
2016-05,ALL,Defendant,97211
2016-06,ALL,Defendant,104755
2016-07,ALL,Defendant,104200
2016-08,ALL,Defendant,103563
2016-09,ALL,Defendant,102370
2016-10,ALL,Defendant,102530
2016-11,ALL,Defendant,102624
2016-12,ALL,Defendant,102607
2017-01,ALL,Defendant,101745
2017-02,ALL,Defendant,101232
2017-03,ALL,Defendant,97890
