ym,department,subagency,reason,declined
1994-10,ALL,ALL,Alternative to Federal Prosecution,75
1994-11,ALL,ALL,Alternative to Federal Prosecution,89
1994-12,ALL,ALL,Alternative to Federal Prosecution,106
1995-01,ALL,ALL,Alternative to Federal Prosecution,132
1995-02,ALL,ALL,Alternative to Federal Prosecution,95
1995-03,ALL,ALL,Alternative to Federal Prosecution,115
1995-04,ALL,ALL,Alternative to Federal Prosecution,119
1995-05,ALL,ALL,Alternative to Federal Prosecution,108
1995-06,ALL,ALL,Alternative to Federal Prosecution,91
1995-07,ALL,ALL,Alternative to Federal Prosecution,90
1995-08,ALL,ALL,Alternative to Federal Prosecution,123
1995-09,ALL,ALL,Alternative to Federal Prosecution,99
1995-10,ALL,ALL,Alternative to Federal Prosecution,108
1995-11,ALL,ALL,Alternative to Federal Prosecution,81
1995-12,ALL,ALL,Alternative to Federal Prosecution,79
1996-01,ALL,ALL,Alternative to Federal Prosecution,77
1996-02,ALL,ALL,Alternative to Federal Prosecution,83
1996-03,ALL,ALL,Alternative to Federal Prosecution,88
1996-04,ALL,ALL,Alternative to Federal Prosecution,98
1996-05,ALL,ALL,Alternative to Federal Prosecution,81
1996-06,ALL,ALL,Alternative to Federal Prosecution,115
1996-07,ALL,ALL,Alternative to Federal Prosecution,84
1996-08,ALL,ALL,Alternative to Federal Prosecution,80
1996-09,ALL,ALL,Alternative to Federal Prosecution,66
1996-10,ALL,ALL,Alternative to Federal Prosecution,77
1996-11,ALL,ALL,Alternative to Federal Prosecution,86
1996-12,ALL,ALL,Alternative to Federal Prosecution,77
1997-01,ALL,ALL,Alternative to Federal Prosecution,77
1997-02,ALL,ALL,Alternative to Federal Prosecution,78
1997-03,ALL,ALL,Alternative to Federal Prosecution,79
1997-04,ALL,ALL,Alternative to Federal Prosecution,91
1997-05,ALL,ALL,Alternative to Federal Prosecution,74
1997-06,ALL,ALL,Alternative to Federal Prosecution,55
1997-07,ALL,ALL,Alternative to Federal Prosecution,67
1997-08,ALL,ALL,Alternative to Federal Prosecution,64
1997-09,ALL,ALL,Alternative to Federal Prosecution,58
1997-10,ALL,ALL,Alternative to Federal Prosecution,59
1997-11,ALL,ALL,Alternative to Federal Prosecution,72
1997-12,ALL,ALL,Alternative to Federal Prosecution,67
1998-01,ALL,ALL,Alternative to Federal Prosecution,70
1998-02,ALL,ALL,Alternative to Federal Prosecution,74
1998-03,ALL,ALL,Alternative to Federal Prosecution,73
1998-04,ALL,ALL,Alternative to Federal Prosecution,93
1998-05,ALL,ALL,Alternative to Federal Prosecution,80
1998-06,ALL,ALL,Alternative to Federal Prosecution,75
1998-07,ALL,ALL,Alternative to Federal Prosecution,77
1998-08,ALL,ALL,Alternative to Federal Prosecution,67
1998-09,ALL,ALL,Alternative to Federal Prosecution,82
1998-10,ALL,ALL,Alternative to Federal Prosecution,75
1998-11,ALL,ALL,Alternative to Federal Prosecution,59
1998-12,ALL,ALL,Alternative to Federal Prosecution,72
1999-01,ALL,ALL,Alternative to Federal Prosecution,95
1999-02,ALL,ALL,Alternative to Federal Prosecution,80
1999-03,ALL,ALL,Alternative to Federal Prosecution,83
1999-04,ALL,ALL,Alternative to Federal Prosecution,90
1999-05,ALL,ALL,Alternative to Federal Prosecution,63
1999-06,ALL,ALL,Alternative to Federal Prosecution,81
1999-07,ALL,ALL,Alternative to Federal Prosecution,81
1999-08,ALL,ALL,Alternative to Federal Prosecution,72
1999-09,ALL,ALL,Alternative to Federal Prosecution,67
1999-10,ALL,ALL,Alternative to Federal Prosecution,73
1999-11,ALL,ALL,Alternative to Federal Prosecution,55
1999-12,ALL,ALL,Alternative to Federal Prosecution,72
2000-01,ALL,ALL,Alternative to Federal Prosecution,83
2000-02,ALL,ALL,Alternative to Federal Prosecution,58
2000-03,ALL,ALL,Alternative to Federal Prosecution,83
2000-04,ALL,ALL,Alternative to Federal Prosecution,55
2000-05,ALL,ALL,Alternative to Federal Prosecution,68
2000-06,ALL,ALL,Alternative to Federal Prosecution,85
2000-07,ALL,ALL,Alternative to Federal Prosecution,61
2000-08,ALL,ALL,Alternative to Federal Prosecution,75
2000-09,ALL,ALL,Alternative to Federal Prosecution,78
2000-10,ALL,ALL,Alternative to Federal Prosecution,68
2000-11,ALL,ALL,Alternative to Federal Prosecution,73
2000-12,ALL,ALL,Alternative to Federal Prosecution,55
2001-01,ALL,ALL,Alternative to Federal Prosecution,69
2001-02,ALL,ALL,Alternative to Federal Prosecution,58
2001-03,ALL,ALL,Alternative to Federal Prosecution,74
2001-04,ALL,ALL,Alternative to Federal Prosecution,75
2001-05,ALL,ALL,Alternative to Federal Prosecution,61
2001-06,ALL,ALL,Alternative to Federal Prosecution,69
2001-07,ALL,ALL,Alternative to Federal Prosecution,52
