ym,category,reason,declined
1994-10,ALL,Alternative to Federal Prosecution,66
1994-11,ALL,Alternative to Federal Prosecution,75
1994-12,ALL,Alternative to Federal Prosecution,87
1995-01,ALL,Alternative to Federal Prosecution,108
1995-02,ALL,Alternative to Federal Prosecution,74
1995-03,ALL,Alternative to Federal Prosecution,99
1995-04,ALL,Alternative to Federal Prosecution,106
1995-05,ALL,Alternative to Federal Prosecution,97
1995-06,ALL,Alternative to Federal Prosecution,85
1995-07,ALL,Alternative to Federal Prosecution,76
1995-08,ALL,Alternative to Federal Prosecution,101
1995-09,ALL,Alternative to Federal Prosecution,92
1995-10,ALL,Alternative to Federal Prosecution,97
1995-11,ALL,Alternative to Federal Prosecution,67
1995-12,ALL,Alternative to Federal Prosecution,70
1996-01,ALL,Alternative to Federal Prosecution,69
1996-02,ALL,Alternative to Federal Prosecution,72
1996-03,ALL,Alternative to Federal Prosecution,79
1996-04,ALL,Alternative to Federal Prosecution,93
1996-05,ALL,Alternative to Federal Prosecution,76
1996-06,ALL,Alternative to Federal Prosecution,116
1996-07,ALL,Alternative to Federal Prosecution,88
1996-08,ALL,Alternative to Federal Prosecution,71
1996-09,ALL,Alternative to Federal Prosecution,67
1996-10,ALL,Alternative to Federal Prosecution,64
1996-11,ALL,Alternative to Federal Prosecution,73
1996-12,ALL,Alternative to Federal Prosecution,68
1997-01,ALL,Alternative to Federal Prosecution,63
1997-02,ALL,Alternative to Federal Prosecution,67
1997-03,ALL,Alternative to Federal Prosecution,70
1997-04,ALL,Alternative to Federal Prosecution,83
1997-05,ALL,Alternative to Federal Prosecution,58
1997-06,ALL,Alternative to Federal Prosecution,51
1997-07,ALL,Alternative to Federal Prosecution,66
1997-08,ALL,Alternative to Federal Prosecution,58
1997-09,ALL,Alternative to Federal Prosecution,56
1997-10,ALL,Alternative to Federal Prosecution,48
1997-11,ALL,Alternative to Federal Prosecution,60
1997-12,ALL,Alternative to Federal Prosecution,63
1998-01,ALL,Alternative to Federal Prosecution,65
1998-02,ALL,Alternative to Federal Prosecution,72
1998-03,ALL,Alternative to Federal Prosecution,61
1998-04,ALL,Alternative to Federal Prosecution,83
1998-05,ALL,Alternative to Federal Prosecution,70
1998-06,ALL,Alternative to Federal Prosecution,64
1998-07,ALL,Alternative to Federal Prosecution,73
1998-08,ALL,Alternative to Federal Prosecution,60
1998-09,ALL,Alternative to Federal Prosecution,67
1998-10,ALL,Alternative to Federal Prosecution,67
1998-11,ALL,Alternative to Federal Prosecution,54
1998-12,ALL,Alternative to Federal Prosecution,59
1999-01,ALL,Alternative to Federal Prosecution,86
1999-02,ALL,Alternative to Federal Prosecution,68
1999-03,ALL,Alternative to Federal Prosecution,75
1999-04,ALL,Alternative to Federal Prosecution,73
1999-05,ALL,Alternative to Federal Prosecution,57
1999-06,ALL,Alternative to Federal Prosecution,79
1999-07,ALL,Alternative to Federal Prosecution,75
1999-08,ALL,Alternative to Federal Prosecution,65
1999-09,ALL,Alternative to Federal Prosecution,61
1999-10,ALL,Alternative to Federal Prosecution,68
1999-11,ALL,Alternative to Federal Prosecution,48
1999-12,ALL,Alternative to Federal Prosecution,69
2000-01,ALL,Alternative to Federal Prosecution,72
2000-02,ALL,Alternative to Federal Prosecution,55
2000-03,ALL,Alternative to Federal Prosecution,73
2000-04,ALL,Alternative to Federal Prosecution,52
2000-05,ALL,Alternative to Federal Prosecution,57
2000-06,ALL,Alternative to Federal Prosecution,75
2000-07,ALL,Alternative to Federal Prosecution,56
2000-08,ALL,Alternative to Federal Prosecution,64
2000-09,ALL,Alternative to Federal Prosecution,69
2000-10,ALL,Alternative to Federal Prosecution,57
2000-11,ALL,Alternative to Federal Prosecution,65
2000-12,ALL,Alternative to Federal Prosecution,49
2001-01,ALL,Alternative to Federal Prosecution,64
2001-02,ALL,Alternative to Federal Prosecution,54
2001-03,ALL,Alternative to Federal Prosecution,72
2001-04,ALL,Alternative to Federal Prosecution,66
2001-05,ALL,Alternative to Federal Prosecution,54
2001-06,ALL,Alternative to Federal Prosecution,62
2001-07,ALL,Alternative to Federal Prosecution,48
2001-08,ALL,Alternative to Federal Prosecution,47
2001-09,ALL,Alternative to Federal Prosecution,41
2001-10,ALL,Alternative to Federal Prosecution,50
2001-11,ALL,Alternative to Federal Prosecution,45
2001-12,ALL,Alternative to Federal Prosecution,49
2002-01,ALL,Alternative to Federal Prosecution,49
2002-02,ALL,Alternative to Federal Prosecution,44
2002-03,ALL,Alternative to Federal Prosecution,61
2002-04,ALL,Alternative to Federal Prosecution,56
2002-05,ALL,Alternative to Federal Prosecution,55
2002-06,ALL,Alternative to Federal Prosecution,48
2002-07,ALL,Alternative to Federal Prosecution,58
2002-08,ALL,Alternative to Federal Prosecution,54
2002-09,ALL,Alternative to Federal Prosecution,64
2002-10,ALL,Alternative to Federal Prosecution,71
2002-11,ALL,Alternative to Federal Prosecution,43
2002-12,ALL,Alternative to Federal Prosecution,45
2003-01,ALL,Alternative to Federal Prosecution,66
2003-02,ALL,Alternative to Federal Prosecution,58
2003-03,ALL,Alternative to Federal Prosecution,67
2003-04,ALL,Alternative to Federal Prosecution,69
2003-05,ALL,Alternative to Federal Prosecution,65
2003-06,ALL,Alternative to Federal Prosecution,76
2003-07,ALL,Alternative to Federal Prosecution,64
2003-08,ALL,Alternative to Federal Prosecution,44
2003-09,ALL,Alternative to Federal Prosecution,65
2003-10,ALL,Alternative to Federal Prosecution,59
2003-11,ALL,Alternative to Federal Prosecution,39
2003-12,ALL,Alternative to Federal Prosecution,69
2004-01,ALL,Alternative to Federal Prosecution,77
2004-02,ALL,Alternative to Federal Prosecution,42
2004-03,ALL,Alternative to Federal Prosecution,87
2004-04,ALL,Alternative to Federal Prosecution,56
2004-05,ALL,Alternative to Federal Prosecution,66
